Date,Title,Outlet,Content
2009-11-03 00:00:00,"Tak til politikkerne, fordi I har taget ansvaret på jer: Det gamle gode liv på Bornholm",Bornholms Tidende,"Jeg er og vil altid være bornholmer, men har i 25 år boet ovre. Lige nu på en anden lille alternativ energi-ø, nemlig Samsø. Ét af dagens højdepunkter er indtagning af Bornholms Tidende sammen med dagens nyheder på TV2/ Bornholm via nettet.

Min mand og jeg regner med at bosætte os på Bornholm inden for en overskuelig årrække. Derfor følger jeg selvfølgelig også med i den verserende debat om øens plejehjem og har fået lyst til at give mit besyv med. Jeg vil hermed også opfordre andre yngre bornholmere til at gøre det samme. Hvis vi ikke dør inden, bliver vi og vores aner jo alle sammen gamle og får brug for mere hjælp og et passende sted at opholde os, uanset hvordan vi har det til dén tid.

Tak til politikkerne, fordi I har taget ansvaret på jer for at tage de vigtige beslutninger for os alle og dermed tør udsætte jer selv for lidt af hvert. Jeg håber, at I ikke stirrer jer blinde på økonomi og beliggenhed, men også vover at medtage følgende betragtninger: Hvad giver dit eget liv indhold, hvad gør dig godt, hvad giver dig glæde i hverdagen? Og prøv så lige at sætte svarene ind i en plejehjemskontekst! Jeg tror, at den åbne, ærlige udveksling af personlige forestillinger om, hvad man selv kunne tænke sig som gammel - eventuelt svag og senil - kan være en måde at finde en god løsning i fællesskab på tværs af politiske skel.

Betænk også den synergieffekt, som kan opstå, når alle borgere inddrages i og bidrager til at finde en løsning! For eksempel min mor på 75, som har arbejdet mange år som sygeplejerske i plejehjemssektoren på Bornholm.

Da jeg spurgte hende, hvad hun ville sætte højest som beboer på et plejehjem, var en del af hendes svar: » Hvad skal man med fine te-køkkener, som de gamle alligevel ikke kan bruge, og som bare bliver til fare for den demente. Nej, dét, som man har brug for, er omsorg, omsorg, omsorg Man kan som politiker og arkitekt umuligt være inde i alt, så husk lige at spørge dem, der hjælper brugerne, heriblandt de pårørende og plejepersonalet « ! Hjemblindhed findes ikke kun blandt politikere, embedsmænd og arkitekter, men også blandt fagfolk i plejehjemssektoren og blandt alle os andre.

Derfor skal man blive ved med at undersøge, hvad andre har gjort og bruge det til at udvikle noget nyt og bedre hos sig selv.

Det koster ikke nødvendigvis mere i det lange løb at tænke alternativt. Med modet til at satse på de såkaldt » bløde værdier « nu kunne Bornholm måske i fremtiden gå hen og generere knowhow vedrørende ældrepleje, som ligefrem vil kunne eksporteres og dermed også trække » plejehjemsturister « og mere kapital til øen! For øvrigt er LAG-midlerne vel ikke kun forbeholdt de yngres helse på Bornholm? Hvad med at ansætte en ældreambassadør? Og hvad med at bruge landdistriktsmidler til at lancere et supermoderne energi-rigtigt center, der vel at mærke er i en inspirerende byggestil, som falder passende ind i den bornholmske natur og bygningsmasse, så bornholmerne kan holde ud at se på det og glæder sig til at benytte det og eventuelt bo der. Ud fra borgernes indkomne ønsker til deres alderdom kunne for eksempel udskrives en arkitektkonkurrence, hvorefter borgerne skulle debattere og stemme om de indkomne forslag.

Min hedengangne norske onkel var i sin tid med til at starte et stort og fantastisk ældrecenter vidunderligt beliggende ned til en smuk fjord i Norge.

Han var efterfølgende igennem mange år leder af Henie-Onstad Alderssenter.

Værdighed, ligeværd og det gode ældreliv var udgangspunktet, og centret var det mest epokegørende i Europa på daværende tidspunkt. Der var bibliotek, fysioterapi med tilhørende svømmebassin, stort kreativt værksted, cafeteria for både personale, brugere og gæster med udsigt ud over fjorden og det nærliggende kunstcenter.

Der var en stor hyggeligt indrettet palmehave i forbindelse med reception og kiosk, koncert-og foredragssal, frisør, fodterapi samt fast sygeplejerske og speciallæger, der dukkede op på bestemte dage. Derudover var der et mere intimt dagcenter med dagligstue og klaver, tilbud om fællesspisning, gåog køreture i det smukke område med passende følgeskab.

I tilknytning til stedet var ansat en yderst fantasifuld og fagligt broget medarbejderskare.

De arrangerede blandt andet store karnevals-events med udklædte brugere, opera live, stort anlagte juleaftensfester og så videre.

Medarbejderne og de ældre, der havde deres eget brugerråd, var så selvledende og begejstrede, at min onkel påstod, at hans vigtigste job som leder var at tusse rundt i afdelingerne, drikke kaffe og dæmpe gemytterne eller give sit besyv med.

Alle inklusive politikerne var pavestolte af, hvad de her havde sat i gang - og i tilknytning til centret, blev der de efterfølgende år bygget ældreboliger og plejehjem af forskellig udformning - afhængig af brugernes plejebehov og kommunens økonomi.

Men lur mig om ikke selve konceptet tiltrak penge fra fonde, testamenter og statskassen. Der kom også delegationer fra hele verden for se denne epokegørende institution for ældre.

Som teenager var jeg flere år ansat som sommerferiehjælp på centret, hvor jeg blandt andet mødte japanske politikere på rundvisning. Stedet kunne sikkert stadig være en studietur værd også for de bornholmske beslutningstagere og rådgivende fagfolk, selvom mindre rammer og andre prioriteringer sagtens kan gøre det lige så godt.

En del af os vil miste hukommelse og evne til verbal kommunikation, når vi bliver gamle. Men selvom visse legemsdele og hjerneceller sætter ud, vil de grundliggende følelser og sanser sandsynligvis stadig være der.

Hvis jeg skal kunne trives, selv om jeg eventuelt bliver dement, så må jeg have noget smukt at se på, noget frisk luft at indånde, mærke vejret, høre fuglenes sang, røre ved noget og blive rørt af omsorgsfulde hænder, solens varmende stråler eller orglets brusen i en gammel, åndrig kirke.

Mit største ønske er, at jeg indimellem kan komme ud og være i den smukke bornholmske natur. Og det mindste må være, at jeg bor et sted, hvor jeg kan kigge ud af vinduet og se et træ og fornemme årstidernes skiften, se mejsen på foderbrættet og fornemme livet omkring mig.

Jeg må være blandt levende væsner hver dag, om det så bare er en lille kat, måske bare en bamse, jeg tror er levende og kan kramme - eller fåret, som kalder på sit lam og klipper græsset i indhegningen omkring mit plejehjem.

Et levende væsen i bevægelse, som får mig til at glemme, at jeg var på vej væk fra det trygge og sikre, og dermed forhindrer mig i at fare vild i skoven, blive kørt over i byen eller dumpe i havnen.

Men det vigtigste af alt: Jeg kunne godt tænke mig at slutte mit liv, hvor der er kærlige omsorgsfulde og indsigtsfulde mennesker omkring mig, som har tålmodighed, ømhed og masser af tid, forstår min situation og gerne vil hjælpe mig, selvom jeg ikke kan gøre noget til gengæld! Jeg glemmer således aldrig en udsendelse i tv, hvor en musikpædagog fik gamle demente på et plejehjem til at huske, nynne eller ligefrem synge deres barndoms sange udenad. Det var gribende at se en gammel dame, der på grund af hans venlige udholdenhed langsomt kom i tanke om melodien og teksten - og endte med at synge den ud af karsken bælg, alt imens man så et stort smukt smil brede sig over det gamle ansigt. Musik og sang kan nedsætte psykisk og fysisk smerte. Det ved vi alle.

Hvordan og i hvilke omgivelser ville du gerne bo, og hvilken omsorg ville du gerne modtage, når du selv bliver gammel og svag? Deltag i debatten og hjælp politikkerne med beslutningerne.

Skriv dine tanker ned og send det til kommunen eller Bornholms Tidende.

Det må vel være lige så godt, om ikke bedre, end usikker likvid pensionsopsparing i denne tid.

Jeg vil i hvert fald glæde mig til at læse indlæggene, hvis nogle skulle være friske og tage udfordringen op her i avisen.

Hvad giver dit eget liv indhold, hvad gør dig godt?."
2009-04-29 00:00:00,Dufte og intense oplevelser der giver mening,Rytterknægten,"- Lige nu må vi satse meget på de projekter, der bliver synlige, og så kunne det være skønt, hvis politikerne også følger med. Der skal snart være kommunalvalg, og det ville være alle tiders, hvis politikerne har deres en klimastrategi, Transplan, på dagsordenen i valgkampen. Den skitserer Bornholm som en rigtig energiø."
2010-07-08 00:00:00,El bliver den primære energikilde i vores samfund: El( re) volutionen er kommet til øen,Bornholms Tidende,"Tiden er ved at løbe fra dogmet om, at el er et beskidt onde. El baner vejen for en langt renere, sikrere og mere effektiv måde at bruge energien på.

Østkraft arbejder sammen med den samlede danske energisektor på, at gøre el CO2-neutral. Derfor giver det mening at lade el erstatte olie og gas i vores biler og boliger - og lade energisystem og transportsystem smelte sammen.

Vi står med andre ord på tærsklen til en » elvolution « , der er en markant forandring af energisystemet på Bornholm, såvel som i resten af Danmark.

Det betyder, at vi om få år kører fra Aakirkeby til Allinge-Sandvig i lydløse biler drevet af el.

Elbilen lader op, imens vi er på arbejde eller hjemme. Vores hjem og ener giforbrug vil i højere grad være itstyret, så eksempelvis vaskemaskinen først starter, når strømmen er billig, eller fryseren slukker kortvarigt af hensyn til elnettet.

El bliver den primære energikilde i vores samfund, fordi el i stigende grad bliver det rene, sikre og effektive alternativ.

Elsystemet kommer til at være livsnerven i vores energiforsyning og skal spille sammen med fjernvarme, aftage landbrugets biomasse og andelen af vindmøllestrømmen, som bliver fordoblet på ti år.

For hver dag bliver strømmen i de bornholmske stikkontakter grønnere.

Om blot ti år vil halvdelen af Danmarks elforbrug være dækket af vedvarende energi.

Allerede nu udgør vedvarende energi 47 pct. af Østkrafts produktion og medtages de private vindmøller, er produktionen på Bornholm helt oppe på 63 pct. Andelen af vedvarende energi i bornholmernes stikkontakter udgør dog kun ca. 40 pct., da en del af energien udveksles via søkablet.

Vi er altså godt på vej mod målet om, at Bornholm skal være fri for fossile brændsler i 2025. Østkraft har endvidere tidligere på året indsendt ansøgninger til Bornholms Regionskommune om opsætning af flere vindmøller, der vil øge denne andel yderligere.

Østkraft håber, at kommunen ser positivt på disse vindmølleprojekter, som vil betyde meget for Bornholm og vil hjælpe til at opfylde kommunens energistrategi om Bornholm som en grøn energi-ø.

Men den største forandring ligger ikke i måden, vi producerer energien på. Den vil ligge i, hvordan vi bruger energien klogt. Det vil betyde en gennemgribende forandring af, hvordan vi tænker på energi, og hvordan vi vil bruge den. Rådet fra os er: Brug strømmen når det blæser - giv strøm tilbage, når vinden løjer af.

I fremtiden vil jagten på billig strøm blive en del af din hverdag. Du kommer til at bruge lidt mere tid ved spisebordet med at studere elpriser, og du kommer til at tage stilling til, hvornår du synes, at din bil skal tanke strøm fra nettet, og om du vil sælge noget af strømmen på batteriet tilbage til elnettet.

Elbiler vil snart være en del af hverdagen, når de igangværende elbilsprojekter, såsom EDISON og MyCar for alvor får fodfæste.

Projekterne skal bringe elbiler op i øjenhøjde, og Bornholm har på baggrund af sin enestående geografi en god mulighed for at være frontløber i denne proces som demonstra tionsprojekt.

Dermed kan Bornholm vise resten af Danmark, ja sågar verden, hvorfor » elvolutionen « er en enestående mulighed for at tænke nyt. Et tiltag, der også vil generere erhvervsmæssige vækstmuligheder og arbejdspladser på sigt.

I bund og grund kan vi gå to veje for at lade udviklingen rulle. Man kan læne sig tilbage og vente på, at politikerne giver de optimale rammer for, at det kan ske, eller man kan begynde udviklingen selv.

Østkraft og resten af den danske energisektor har taget de første skridt mod » elvolutionen « , der vil gøre vores energiforbrug renere og gøre os fri af olien.

For hver dag bliver strømmen grønnere.

    Elbilen lader op, imens vi er på arbejde eller hjemme"
2013-09-07 00:00:00,Det grønne i centrum,Bornholms Tidende,"Business Center Bornholm og Bright Green Island har indbudt meget bredt til intet mindre end et globalt topmøde for øer, som satser på det grønne og på økologi.

Eco Islands Global Summit 2013 Bornholm holdes fra mandag den 9.

september til onsdag den 11. september på Grønbechs Gård i Hasle.

Bornholm byder velkommen til ildsjæle, eksperter, græsrødder og beslutningstagere fra små samfund og regioner fra hele verden: Japan, Thailand, Papua New Guinea, USA, England, Holland, Spanien, Sverige og Danmark.


Lokalt og globalt

Det handler om tre dage med fokus på lokal udvikling, cirkulær økonomi, grønne byggerier, strategiske løftestænger, smarte løsninger, affald som guld, grønne investeringer, små økonomiers modstandskraft, grøn transport, bæredygtig forretningsudvikling og bæredygtighed i lange baner.

Her finder man ud af, om små økonomier på øer i byer og regioner med deres særlige styrkepositioner kan levere nye, grønne løsninger til den globale grønne dagsorden.

Her vil være oplæg, workshops, store visioner, global vidensdeling og networking.

Bornholm byder velkommen til nogle af de skarpeste knive i skuffen, når det drejer sig om at transformere store udfordringer til bæredygtige løsninger, hedder det i programmet.


Rundt på øen i el-bil

Mandag den 9. september går turen rundt på Bornholm i el-bil. Man besøger Vasagård med skovgrise og landbrug, hvor det handler om bæredygtig produktion.

Mandag mødes også 12 beslutningstagere fra fem øer, fordelt på syv nationaliteter - til planlægnings-og strategimøde for fremtidens Ecoislands.


smart Grid Bornholm

Tirsdag den 10. september er der oplæg og debatter hele dagen. Erfaringer og inspiration fra projekter og koncepter fra hele verden: Introduktion til EcoIsland-visionen.

Bright Green Island - Historien om Bornholm. Samsø - vedvarende energiø.

Innovation og bæredygtige øer: Globale trends. Innovativ finansiering af forandringsprojekter på øer i udviklingslande.

Paneldebat: Ecoisland-historier.

Her sættes også fokus på EcoGrid EU - smart grid på Bornholm. Smart City Concept for mindre byer - case fra Kalundborg. Enviu - økosystem for bæredygtig forretningsudvikling i Holland.

Bæredygtig transport -delebilshistorier.

Kreative øer. Cirkulær økonomi.

Onsdag den 11. september er der workshops omkring: Cirkulær økonomi. Genbrug af materialer, udvikling af industrielle symbioser samt fremtidens design. Grønne Byggerier som bæredygtig vækst for øer. Affald er penge, når borgerne er engagerede. Innovation og investering i grøn bæredygtig udvikling. Bæredygtighed og dynamik i den lokale økonomi.

Fremtidens energi og forbindelsen til cirkulær økonomi.


Hvem er så med?

Oplæg holdes af 29 internationale og nationale eksperter. 140 deltagere er med fra hele verden og 12 øer, ø-organisations repræsentanter.

De kommer fra Bornholm, Isle of Wight, Bougainville, Samui island, Scottish Islands Federation, Scottish Island of Eigg, Yell in the Shetland Islands, Island, Samsø, Mallorca, ESIN - European Small Islands Federation, Baltic Seven Islands -B7 og Indonesia Sustainable Island Tourism.

Bornholm byder velkommen til nogle af de skarpeste knive i skuffen."
2015-06-15 00:00:00,Masser af omstilling i kommunerne,Bornholms Tidende,"På Bornholm har man Bright Green Island-konceptet og en vision om et CO2-neutralt samfund om 10 år. Men Bornholm er langt fra alene om at fokusere på bæredygtig omstilling og langt fra heller førende. Der sker rigtigt meget rundt omkring.

Netværket Omstilling Nu havde lørdag et arrangement hos avisen Kommunen, hvor en række kommuner bidrog med oplysning om deres omstillingsprojekter.

I Aalborg kommune har man f. eks.

etableret et decideret center for grøn omstilling, som både retter sig mod borgerne og mod erhvervslivet. Den bæredygtige erhvervsudvikling udfolder sig i partnerskaber og med et bæredygtigt tilsyn og sagsbehandling fra kommunens side, mens man har målrettet en grøn agent mod borgerne og desuden holder en bæredygtighedsfestival en uge om året. Dér viser man frem, hvad det er, man kan, og hvad man vil.

I Kalundborg har man etableret Dansk Symbiosecenter, som forsøger at organisere den industrielle produktion ved at understøtte samarbejdet mellem virksomhederne. Der er specielt fokus på det, man tidligere betegnede affaldsprodukter i virksomhederne.

Det kalder man det ikke mere, men ressourcer, som kan bruges til noget andet. F. eks. får man et restprodukt ved at rense røgen for svovl fra et kræftværk. Restproduktet er industrigips, og hvor det før blev kørt i deponi, bliver det nu aftaget af en nærliggende gipsfabrik, som laver gipsplader af det.

På Samsø er man kommet rigtigt lagt og er for længst erklæret en vedvarende energi-ø. Allerede 10 år efter visionen om at blive CO2-neutral, blev man det, og det er sket i et omfattende samarbejde via et Energi Akademi, hvor både kommunen, virksomhederne og græsrødderne deltager. Vindmøller, solenergi og senest en kommunal færge drevet på gas er blandt nogle af de mange initiativer på øen. Planen er også at etablere et biogasanlæg, som kan levere energi til den kommunalt ejede færge.

Til gengæld er Samsø ikke så god til økologi og genbrug endnu, fortalte borgmesteren på mødet. Det skal der nu tages mere fat på.

Sønderborg Kommune har et mål om at være CO2-neutral i 2029, og man er godt i gang med en lang række initiativer for at nå det mål. Blandt andet ved at være opmærksom på energiforbruget på kommunens ejendomme, og f. eks. får skoleeleverne en sms, når de har sparet på energien på deres skole.

Kommunen har også nedskrevet en grøn læseplan, så børnehavebørnene og skoleeleverne helt fra starten lærer at tænke energirigtigt, og de kommer også ud på besøg på virksomhederne.

Næste skridt i Sønderborg er at omstille den kollektive trafik fra diesel til gas.

Der var i øvrigt et klart fællestræk i de fire kommuners omstillingsproces: Alle i kommunen skal inddrages, og det vil sige både borgerne, de unge, foreningerne, græsrødderne, erhvervslivet og så videre.

Alle i kommunen skal inddrages, og det vil sige både borgerne, de unge, foreningerne, græsrødderne, erhvervslivet og så videre.

    Netværket Omstilling Nu havde lørdag et arrangement hos avisen Kommunen, hvor en række kommuner bidrog med oplysning om deres bæredygtige omstillingsprojekter."
2019-11-25 00:00:00,Ørsted vil have staten til at sætte Nordsøen-projekt i bero: Bornholm kan få landets største havvindmøllepark,Bornholms Tidende,"Danmarks hidtil største vindmøllepark kan måske få hjemsted i Østersøen ud for Bornholm.

Energiselskabet Ørsted har foreslået regeringen at opføre en gigantisk vindmøllepark ud for Rønne.

Vindmøllerne skal i første omgang kunne levere en produktion på 1000 megawatt, også kaldet en gigawatt. På længere sigt vil den bornholmske møllepark kunne øge produktionen med op mod tre til fem gigawatt - strøm nok til op mod fem millioner husstande.

Projektet vil gøre Bornholm til hjemsted for en omformerstation, der kan sende strømmen videre. Ørsteds plan omfatter også en elektrolysefabrik, der kan lave overskydende strøm om til grønt brændstof til skibe, fly og lastbiler. Den vil Ørsted dog placere i hovedstadsområdet, fordi der bliver brugt langt mere brændstof i og omkring København end på Bornholm.

Projektets første etape vil forsyne Bornholm, Sjælland og Polen med strøm. Bygger man senere parken ud til 3-5 gigawatt, vil den også kunne eksportere strøm til Sverige og Polen.

Den senest vedtagne vindmøllepark, Thor, der skal ligge ud for Vestjylland, vil til sammenligning få en effekt på 800 megawatt.

Ørsteds forslag til regeringen går ud på, at Danmark sender et havvindsprojekt ud for Bornholm i udbud før Thor-projektet.

Hos Ørsted mener havvindmøllechef Martin Neubert, at projektet vil være både mere attraktivt og hurtigere at realisere end at bygge en kunstig energiø i Nordsøen, sådan som Thor-projektet vil kræve. Både Thor og dens kunstige ø er skrevet ind i det såkaldte forståelsespapir, som den nye regering i sommer kom frem til sammen med sine støttepartier.

- På Bornholm behøver man ikke at bygge og dræne som i Nordsøen. Så man kan bruge den infrastruktur, der allerede er på plads, siger han til Politiken.

Klima-og energiminister Dan Jørgensen (S) kalder forslaget for "" meget spændende"".

- Det er godt at se, at de private aktører er med helt fremme i den grønne frontlinje, skriver han i en kommentar til Politiken.

Professor i energiøkonomi Brian Vad Matthiesen fra Aalborg Universitet finder også idéen om at bruge Bornholm bedre end idéen om havvindmøller centreret om en kunstigø i Nordsøen.

- Det er langt mere realiserbar end de her luftige tanker om en kæmpestor energiø langt ude i havet. Udfordringen ligger i at finde egnede placeringer til store mængder vedvarende energi, der samtidig er tæt på nogle store forbrugscentre. Det er det her et eksempel på, at man kan, siger han til Politiken.

Borgmester Winni Grosbøll (S) er stærkt begejstret for forslaget.

- I det hele taget vil sådan et byggeri smitte af med arbejdspladser og aktivitet på hele øen.

- Desuden positionerer sådan en havvindmøllepark Bornholm som en energiø midt ude i Østersøen. Det er en kæmpe chance for os, siger hun til Politiken.

Sådan en havvindmøllepark positionerer Bornholm som en energiø midt ude i Østersøen. Det er en kæmpe chance for os Winni Grosbøll, borgmester."
2019-12-12 00:00:00,Havneformand er glad for beslutning,Bornholms Tidende,"Bestyrelsesformand Thomas Thors hos Rønne Havn er tilfreds med, at et enigt økonomi-, erhvervs-og planudvalg onsdag nikkede anerkendende til en procesplan, som kan åbne mulighed for, at havnen kan gøre brug af et areal ved Kanondalen. Han var selv med til at behandle sagen som medlem af udvalget.

- Jeg er selvfølgelig tilfreds med, at vi er kommet så langt, for jeg ser, at der er meget store muligheder for Rønne Havn for at blive en central spiller i hele vindmølleudviklingen i Danmark, ja i hele østersøområdet. Det skal også ses i relation til det, vi har oplevet, at man nu seriøst diskuterer Bornholm som energiø. Der vil Rønne Havn også få en central placering. Vi har brug for et større areal i hele det her spil, som kan vise sig at blive rigtig, rigtig vigtigt for Bornholm, siger han."
2019-12-10 00:00:00,Ministeren nævner Ørsteds bornholmske idé indirekte: Østersøen skal screenes for steder til havvindmølleparker,Bornholms Tidende,"Det står allerede klart, at den første park bliver Thor i Nordsøen ud for Thorsminde. Ørsted har foreslået at placere park nummer to i Østersøen, fordi man her kan bruge Bornholm som energi-ø og ikke først behøver at skabe en kunstig ø. Efter den nuværende køreplan kommer udbuddet af park nummer 2 i 2023.

De kommende undersøgelser skal bekræfte, at det er praktisk muligt at etablere en eller flere energi-øer i forhold til natur, miljø-og planforhold. De skal desuden levere økonomiske beregninger, der kan gøre det muligt at beslutte noget endeligt. Arbejdet skal spille ind i forhandlingerne om klimahandlingsplanerne, der starter i det nye år."
2019-12-21 00:00:00,"Dansk Fjernvarmes udviklingschef mener, at Bornholm skal gå efter at blive fremtidens tankstation for skibene i Østersøen: Energi-ø kan give billigere fjernvarme",Bornholms Tidende,"Dansk Fjernvarmes udviklingschef, Kim Behnke mener, at Bornholm skal stræbe efter at blive fremtidens tankstation for skibe i Østersøen. Fremtidens brændstof skal skabes ved hjælp af overskudsstrømmen fra vindmølleparkerne omkring Bornholm, ligesom Ørsted har foreslået. Pressefoto: Ørsted.

Hvis ikke det er Bornholm, der laver et tanksystem, bliver det bare i Sverige eller Polen Kim Behnke ."
2019-12-21 00:00:00,Dansk Fjernvarme videreudvikler Ørsteds umiddelbare idé,Bornholms Tidende,"Et af benene i forslaget er at bruge fremtidens store mængde vindmøllestrøm til at producere brint på et elektrolyseanlæg. Da Bornholms Tidende interviewede Ulrik Stridbæk, Ørsteds chef for energiøkonomi, på konferencen WindEurope, fortalte han, at energiselskabet forestillede sig, at elektrolyseanlægget skulle placeres på Sjælland, hvor behovet for brint og syntetiske brændstoffer er størst.

- I vores tænkning kigger vi rigtig meget på at være en del af det at lave brint. Og begynde at forsyne den tunge transport. Hele ideen med at lave anlægget er en el-forbindelse mellem Danmark og Polen.

Når man har gjort det, er det langt billigere at placere brintproduktionen på Sjælland - tæt på hvor brinten skal bruges. Der vil ikke være brug for særligt meget brint på Bornholm, sagde Ulrik Stridbæk.

Han understregede, at ideen er på et indledende stadium, og at "" der ikke er noget, der hedder skal""."
